index,ano,data,rodada,time,tecnico,colocacao,gols,total_gols,gols_outro_time,dif_gols,derrota,empate,vitoria
6223,2018,2018-11-15,34,Cruzeiro,Mano Menezes,9.0,1.0,1.0,0.0,1.0,0,0,1
6224,2018,2018-11-15,34,Sport Recife,Milton Mendes,16.0,0.0,0.0,0.0,0.0,0,1,0
6225,2018,2018-11-15,34,Palmeiras,Luiz Felipe Scolari,1.0,3.0,3.0,0.0,3.0,0,0,1
6227,2018,2018-11-15,34,Flamengo,Dorival Júnior,3.0,1.0,1.0,0.0,1.0,0,0,1
6228,2018,2018-11-15,34,São Paulo,André Jardine,5.0,1.0,2.0,1.0,0.0,0,1,0
6229,2018,2018-11-16,34,Internacional,Odair Hellmann,2.0,2.0,2.0,0.0,2.0,0,0,1
6231,2018,2018-11-17,35,Corinthians,Jair Ventura,13.0,1.0,1.0,0.0,1.0,0,0,1
6232,2018,2018-11-18,35,Atlético-MG,Levir Culpi,6.0,1.0,1.0,0.0,1.0,0,0,1
6235,2018,2018-11-18,35,Botafogo,Zé Ricardo,11.0,1.0,1.0,0.0,1.0,0,0,1
6236,2018,2018-11-18,35,Sport Recife,Milton Mendes,15.0,0.0,1.0,1.0,-1.0,1,0,0
6237,2018,2018-11-18,35,São Paulo,André Jardine,5.0,1.0,1.0,0.0,1.0,0,0,1
6238,2018,2018-11-18,35,Grêmio,Renato Gaúcho,4.0,2.0,2.0,0.0,2.0,0,0,1
6240,2018,2018-11-21,36,Internacional,Odair Hellmann,3.0,1.0,3.0,2.0,-1.0,1,0,0
6242,2018,2018-11-22,36,Cruzeiro,Mano Menezes,8.0,3.0,3.0,0.0,3.0,0,0,1
6244,2018,2018-11-22,36,Flamengo,Dorival Júnior,2.0,2.0,2.0,0.0,2.0,0,0,1
6245,2018,2018-11-22,36,Palmeiras,Luiz Felipe Scolari,1.0,4.0,4.0,0.0,4.0,0,0,1
6251,2018,2018-11-25,37,Cruzeiro,Mano Menezes,8.0,0.0,2.0,2.0,-2.0,1,0,0
6256,2018,2018-11-25,37,Corinthians,Jair Ventura,12.0,0.0,0.0,0.0,0.0,0,1,0
6257,2018,2018-11-25,37,Internacional,Odair Hellmann,3.0,2.0,2.0,0.0,2.0,0,0,1
6258,2018,2018-11-26,37,Botafogo,Zé Ricardo,9.0,2.0,3.0,1.0,1.0,0,0,1
6259,2018,2018-11-26,37,São Paulo,André Jardine,5.0,0.0,0.0,0.0,0.0,0,1,0
6260,2018,2018-12-01,38,Atlético-MG,Levir Culpi,6.0,1.0,1.0,0.0,1.0,0,0,1
6261,2018,2018-12-01,38,Flamengo,Dorival Júnior,2.0,1.0,3.0,2.0,-1.0,1,0,0
6267,2018,2018-12-02,38,Sport Recife,Milton Mendes,18.0,2.0,3.0,1.0,1.0,0,0,1
6268,2018,2018-12-02,38,Palmeiras,Luiz Felipe Scolari,1.0,3.0,5.0,2.0,1.0,0,0,1
6269,2018,2018-12-02,38,Grêmio,Renato Gaúcho,4.0,1.0,1.0,0.0,1.0,0,0,1
6270,2019,2019-04-27,1,São Paulo,Cuca,5.0,2.0,2.0,0.0,2.0,0,0,1
6271,2019,2019-04-28,1,Atlético-MG,Rodrigo Santana,8.0,2.0,3.0,1.0,1.0,0,0,1
6273,2019,2019-04-28,1,Flamengo,Abel Braga,4.0,3.0,4.0,1.0,2.0,0,0,1
6274,2019,2019-04-28,1,Grêmio,Renato Gaúcho,12.0,1.0,3.0,2.0,-1.0,1,0,0
6278,2019,2019-04-29,1,Palmeiras,Luiz Felipe Scolari,1.0,4.0,4.0,0.0,4.0,0,0,1
6281,2019,2019-05-01,2,Corinthians,Fábio Carille,11.0,1.0,1.0,0.0,1.0,0,0,1
6282,2019,2019-05-01,2,Internacional,Odair Hellmann,16.0,2.0,3.0,1.0,1.0,0,0,1
6283,2019,2019-05-02,2,Cruzeiro,Mano Menezes,15.0,1.0,1.0,0.0,1.0,0,0,1
6289,2019,2019-05-03,2,Botafogo,Eduardo Barroca,17.0,3.0,5.0,2.0,1.0,0,0,1
6290,2019,2019-05-05,3,Palmeiras,Luiz Felipe Scolari,4.0,1.0,1.0,0.0,1.0,0,0,1
6294,2019,2019-05-05,3,São Paulo,Cuca,1.0,1.0,2.0,1.0,0.0,0,1,0
6295,2019,2019-05-05,3,Botafogo,Eduardo Barroca,12.0,1.0,1.0,0.0,1.0,0,0,1
6297,2019,2019-05-05,3,Cruzeiro,Mano Menezes,14.0,2.0,3.0,1.0,1.0,0,0,1
6298,2019,2019-05-06,3,Grêmio,Renato Gaúcho,16.0,4.0,9.0,5.0,-1.0,1,0,0
6301,2019,2019-05-12,4,Corinthians,Fábio Carille,11.0,0.0,0.0,0.0,0.0,0,1,0
6303,2019,2019-05-12,4,Flamengo,Abel Braga,9.0,2.0,3.0,1.0,1.0,0,0,1
6304,2019,2019-05-12,4,Internacional,Odair Hellmann,15.0,3.0,4.0,1.0,2.0,0,0,1
6306,2019,2019-05-12,4,Atlético-MG,Rodrigo Santana,1.0,0.0,2.0,2.0,-2.0,1,0,0
6311,2019,2019-05-19,5,Atlético-MG,Rodrigo Santana,4.0,2.0,3.0,1.0,1.0,0,0,1
6312,2019,2019-05-19,5,Palmeiras,Luiz Felipe Scolari,1.0,4.0,4.0,0.0,4.0,0,0,1
6313,2019,2019-05-19,5,São Paulo,Cuca,3.0,0.0,0.0,0.0,0.0,0,1,0
6317,2019,2019-05-19,5,Internacional,Odair Hellmann,9.0,2.0,2.0,0.0,2.0,0,0,1
6320,2019,2019-05-25,6,Botafogo,Eduardo Barroca,7.0,0.0,1.0,1.0,-1.0,1,0,0
6321,2019,2019-05-26,6,Grêmio,Renato Gaúcho,19.0,1.0,1.0,0.0,1.0,0,0,1
6323,2019,2019-05-26,6,Flamengo,Abel Braga,9.0,3.0,5.0,2.0,1.0,0,0,1
6325,2019,2019-05-27,6,Corinthians,Fábio Carille,8.0,1.0,1.0,0.0,1.0,0,0,1
6326,2019,2019-05-27,6,Cruzeiro,Mano Menezes,15.0,1.0,3.0,2.0,-1.0,1,0,0
6330,2019,2019-06-01,7,Flamengo,Marcelo Salles,6.0,2.0,2.0,0.0,2.0,0,0,1
6332,2019,2019-06-02,7,Botafogo,Eduardo Barroca,11.0,1.0,1.0,0.0,1.0,0,0,1
6334,2019,2019-06-02,7,São Paulo,Cuca,4.0,1.0,2.0,1.0,0.0,0,1,0
6337,2019,2019-06-03,7,Atlético-MG,Rodrigo Santana,2.0,4.0,4.0,0.0,4.0,0,0,1
6338,2019,2019-06-03,7,Internacional,Odair Hellmann,7.0,2.0,2.0,0.0,2.0,0,0,1
6339,2019,2019-08-08,7,Corinthians,Fábio Carille,3.0,2.0,2.0,0.0,2.0,0,0,1
6341,2019,2019-06-08,8,Palmeiras,Luiz Felipe Scolari,1.0,1.0,1.0,0.0,1.0,0,0,1
6342,2019,2019-06-09,8,Grêmio,Renato Gaúcho,18.0,1.0,1.0,0.0,1.0,0,0,1
6343,2019,2019-06-09,8,Cruzeiro,Mano Menezes,15.0,0.0,0.0,0.0,0.0,0,1,0
6350,2019,2019-06-13,9,Botafogo,Eduardo Barroca,4.0,0.0,1.0,1.0,-1.0,1,0,0
6352,2019,2019-06-13,9,Internacional,Odair Hellmann,8.0,3.0,4.0,1.0,2.0,0,0,1
6356,2019,2019-06-14,9,Atlético-MG,Rodrigo Santana,3.0,1.0,2.0,1.0,0.0,0,1,0
6358,2019,2019-06-14,9,Palmeiras,Luiz Felipe Scolari,1.0,2.0,2.0,0.0,2.0,0,0,1
6360,2019,2019-07-13,10,Grêmio,Renato Gaúcho,11.0,2.0,3.0,1.0,1.0,0,0,1
6362,2019,2019-07-14,10,São Paulo,Cuca,10.0,1.0,2.0,1.0,0.0,0,1,0
6364,2019,2019-07-14,10,Flamengo,Jorge Jesus,3.0,6.0,7.0,1.0,5.0,0,0,1
6365,2019,2019-07-14,10,Cruzeiro,Mano Menezes,18.0,0.0,0.0,0.0,0.0,0,1,0
6366,2019,2019-07-14,10,Corinthians,Fábio Carille,8.0,1.0,1.0,0.0,1.0,0,0,1
6372,2019,2019-07-21,11,Internacional,Odair Hellmann,6.0,1.0,2.0,1.0,0.0,0,1,0
6375,2019,2019-07-21,11,Botafogo,Eduardo Barroca,7.0,0.0,1.0,1.0,-1.0,1,0,0
6376,2019,2019-07-21,11,Atlético-MG,Rodrigo Santana,4.0,2.0,4.0,2.0,0.0,0,1,0
6377,2019,2019-07-21,11,Corinthians,Fábio Carille,5.0,1.0,2.0,1.0,0.0,0,1,0
6379,2019,2019-07-23,11,São Paulo,Cuca,9.0,4.0,4.0,0.0,4.0,0,0,1
6380,2019,2019-07-27,12,Palmeiras,Luiz Felipe Scolari,1.0,1.0,2.0,1.0,0.0,0,1,0
6382,2019,2019-07-28,12,Internacional,Odair Hellmann,7.0,1.0,1.0,0.0,1.0,0,0,1
6383,2019,2019-07-28,12,Cruzeiro,Mano Menezes,16.0,0.0,2.0,2.0,-2.0,1,0,0
